
Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Quota ▲▼,Category ▲▼,Seat Gender ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Remark ▲▼
3581,Round 1,"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,206744,1024305,
3582,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,414342,1125782,
3583,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR",Electronics and Communication (Advanced Communication Technology),B.Tech,All India,OPEN,Both Male and Female Seats,403872,403872,
3584,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,395154,450320,
3585,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,191475,748137,
3586,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (Hindi),B.Tech,All India,OPEN,Both Male and Female Seats,310262,427511,
3587,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(AF),Both Male and Female Seats,516523,537875,
3588,Round 1,"LDC INSTITUTE OF TECHNICAL STUDIES,ALLAHABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,926777,926777,
3589,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,231684,786799,
3590,Round 1,"VISION INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,907229,907229,
3591,Round 1,"SRI RAM GROUP OF COLLEGES,MUZAFFARNAGAR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1170961,1406575,
3592,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,269956,284634,
3593,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,804075,993124,
3594,Round 1,"SHIVDAN SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,605041,1234133,
3595,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,853442,1280977,
3596,Round 1,"I.I.M.T. ENGG. COLLEGE,MEERUT",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,925670,1181450,
3597,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,172687,414472,
3598,Round 1,"SRI RAMMURTI SMARAK COLLEGE OF ENGINEERING TECHNOLOGY & RESEARCH,BAREILLY",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,338340,569162,
3599,Round 1,"SRI RAM GROUP OF COLLEGES,MUZAFFARNAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,401500,1391612,
3600,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,383394,383394,
3601,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,200004,218131,
3602,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,191171,191171,
3603,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,286017,357006,
3604,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,783642,877449,
3605,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,685819,685997,
3606,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1215468,1215468,
3607,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,182720,269709,
3608,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,148517,554786,
3609,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,605980,749598,
3610,Round 1,"I.I.M.T. ENGG. COLLEGE,MEERUT",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,OPEN,Both Male and Female Seats,1134182,1200258,
3611,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,450266,565625,
3612,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1157789,1333902,
3613,Round 1,"SHIVDAN SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,619642,1101553,
3614,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,626522,1117523,
3615,Round 1,"KALICHARAN NIGAM INSTITUTE OF TECHNOLOGY,BANDA",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1262909,1414184,
3616,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,377428,733681,
3617,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,422733,529842,
3618,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,692019,692019,
3619,Round 1,"NEELAM COLLEGE OF ENGINEERING & TECHNOLOGY,AGRA",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1181156,1181156,
3620,Round 1,"SRI RAMMURTI SMARAK COLLEGE OF ENGINEERING TECHNOLOGY & RESEARCH,BAREILLY",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,629255,629255,
3621,Round 1,"SUYASH INSTITUTE OF INFORMATION TECHNOLOGY,GORAKHPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,850939,850939,
3622,Round 1,"SRI RAM GROUP OF COLLEGES,MUZAFFARNAGAR",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,388717,702951,
3623,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,345410,345410,
3624,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,BC,Both Male and Female Seats,296742,345973,
3625,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,1081113,1081113,
3626,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,526554,781798,
3627,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,994910,1373323,
3628,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,633045,973939,
3629,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,445809,751432,
3630,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,ST(Girl),Female Seats,1011528,1011528,
3631,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,EWS(GL),Female Seats,315128,315128,
3632,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,244678,535094,
3633,Round 1,"SHIVDAN SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,687274,687274,
3634,Round 1,"SHIVDAN SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,378559,661445,
3635,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,154061,477329,
3636,Round 1,"I.I.M.T. ENGG. COLLEGE,MEERUT",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,372512,537039,
3637,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,813203,813203,
3638,Round 1,"SRI RAM GROUP OF COLLEGES,MUZAFFARNAGAR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1180887,1349756,
3639,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,79151,88421,
3640,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,514327,514327,
3641,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,229469,306824,
3642,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,SC(Girl),Female Seats,884383,1138962,
3643,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,B.Tech,Home State,SC,Both Male and Female Seats,570046,1008728,
3644,Round 1,"BHARAT INSTITUTE OF TECHNOLOGY,MEERUT",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,1339838,1339838,
3645,Round 1,"ABSS INSTITUTE OF TECHNOLOGY, MEERUT,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,185750,610274,
3646,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1292712,1360524,
3647,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,187744,192726,
3648,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,276830,320834,
3649,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,200361,265017,
3650,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,445324,445324,
3651,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,331159,336311,
3652,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,915612,915612,
3653,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,1092636,1092636,
3654,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,187435,209980,
3655,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1017592,1269013,
3656,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,1212364,1212364,
3657,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,310230,440607,
3658,Round 1,"KRISHNA INSTITUTE OF TECHNOLOGY,KANPUR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,687018,776753,
3659,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1128435,1400612,
3660,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,689604,1227082,
3661,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,1316263,1316263,
3662,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,229578,229578,
3663,Round 1,"R.D.ENGINEERING COLLEGE RESEARCH CENTRE,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,923544,983962,
3664,Round 1,"R.D.ENGINEERING COLLEGE RESEARCH CENTRE,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,695704,1080414,
3665,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,1079016,1244039,
3666,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,119738,152892,
3667,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(PH),Both Male and Female Seats,351230,351230,
3668,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,1213011,1213011,
3669,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Electrical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,418226,449624,
3670,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,559465,559465,
3671,Round 1,"DR. K.N. MODI INSTITUTE OF ENGG. & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,823326,1282363,
3672,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(PH),Both Male and Female Seats,698559,698559,
3673,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,177752,319591,
3674,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,347371,439931,
3675,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,SC,Both Male and Female Seats,578264,852480,
3676,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,849731,849731,
3677,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,463586,949195,
3678,Round 1,"ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),LUCKNOW",Computer Science Information Technology,B.Tech,All India,OPEN,Female Seats,174891,1208206,
3679,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,240907,307208,
3680,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,373283,455542,
3681,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,EWS(AF),Both Male and Female Seats,247535,247535,
3682,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,157898,167820,
3683,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,132386,167251,
3684,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,SC(Girl),Female Seats,454279,809524,
3685,Round 1,"MEERUT INTERNATIONAL INSTITUTE OF TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,200372,1124052,
3686,Round 1,"MEERUT INTERNATIONAL INSTITUTE OF TECHNOLOGY,MEERUT",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,499747,499747,
3687,Round 1,"SHRI SIDHI VINAYAK INSTITUTE OF TECHNOLOGY,BAREILLY",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,997642,997642,
3688,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1350755,1373911,
3689,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,358530,440036,
3690,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,306971,348783,
3691,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,299233,337143,
3692,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,ST,Both Male and Female Seats,732320,732320,
3693,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,549570,645786,
3694,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,325532,356261,
3695,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(GL),Female Seats,266107,291595,
3696,Round 1,"KLS INSTITUTE OF ENGINEERING & TECHNOLOGY,BIJNAUR",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,807112,807112,
3697,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,731563,1108671,
3698,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,707188,707188,
3699,Round 1,"SCHOOL OF MANAGEMENT SCIENCE (SMS INSTITUTE OF TECHNOLOGY),LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,445334,776736,
3700,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,386149,432259,
3701,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,193558,193558,
3702,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,164534,201210,Fresh and Upgraded Only
3703,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,570911,570911,Fresh and Upgraded Only
3704,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,312218,418792,Fresh and Upgraded Only
3705,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1089120,1089120,Fresh and Upgraded Only
3706,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,126607,135246,Fresh and Upgraded Only
3707,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,302417,369692,Fresh and Upgraded Only
3708,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,641491,677985,Fresh and Upgraded Only
3709,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,502558,552587,Fresh and Upgraded Only
3710,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,703765,703765,Fresh and Upgraded Only
3711,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,485407,521541,Fresh and Upgraded Only
3712,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,421906,634288,Fresh and Upgraded Only
3713,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,375721,482749,Fresh and Upgraded Only
3714,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,523574,1005720,Fresh and Upgraded Only
3715,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,263360,301400,Fresh and Upgraded Only
3716,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,203076,276100,Fresh and Upgraded Only
3717,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,BC(Girl),Female Seats,449873,484823,Fresh and Upgraded Only
3718,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,BC,Both Male and Female Seats,373331,422227,Fresh and Upgraded Only
3719,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,EWS(GL),Female Seats,522201,522201,Fresh and Upgraded Only
3720,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,371430,436713,Fresh and Upgraded Only
3721,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,353729,426319,Fresh and Upgraded Only
3722,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,286444,368764,Fresh and Upgraded Only
3723,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,SC(Girl),Female Seats,1021279,1021279,Fresh and Upgraded Only
3724,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,SC,Both Male and Female Seats,539130,1218762,Fresh and Upgraded Only
3725,Round 2,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,164470,244548,Fresh and Upgraded Only
3726,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,273991,542404,Fresh and Upgraded Only
3727,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,BC(Girl),Female Seats,1398991,1398991,Fresh and Upgraded Only
3728,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1268262,1386022,Fresh and Upgraded Only
3729,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,919497,927337,Fresh and Upgraded Only
3730,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,550151,1164112,Fresh and Upgraded Only
3731,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,133773,174425,Fresh and Upgraded Only
3732,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,243388,260884,Fresh and Upgraded Only
3733,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,220736,232708,Fresh and Upgraded Only
3734,Round 2,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,220710,236727,Fresh and Upgraded Only
